Field,Value
pi_fullname_1,Eduardo Reátegui
pi_firstname_1,Eduardo
pi_middlename_1,
pi_lastname_1,Reátegui
pi_profileid_1,
pi_orcid_1,0000-0002-8271-8205
pi_role_1,contact-PI|data-PI
pi_inst_name_1,The Ohio State University
pi_inst_id_1,ror:00rs6vg23
pi_inst_id_type_1,ROR
pi_fullname_2,Ly James Lee
pi_firstname_2,Ly
pi_middlename_2,James
pi_lastname_2,Lee
pi_profileid_2,
pi_orcid_2,0000-0002-3589-0280
pi_role_2,co-PI
pi_inst_name_2,"Nanomaterial Innovation, Ltd"
pi_inst_id_2,N2KLACCRD6D5
pi_inst_id_type_2,UEI
pi_fullname_3,Preeti Pancholi
pi_firstname_3,Preeti
pi_middlename_3,
pi_lastname_3,Pancholi
pi_profileid_3,
pi_orcid_3,0000-0001-9053-02644
pi_role_3,co-PI
pi_inst_name_3,
pi_inst_id_3,
pi_inst_id_type_3,
pi_fullname_4,Kai Wang
pi_firstname_4,Kai
pi_middlename_4,
pi_lastname_4,Wang
pi_profileid_4,
pi_orcid_4,0000-0002-4991-9259
pi_role_4,co-PI
pi_inst_name_4,
pi_inst_id_4,
pi_inst_id_type_4,
dbGaP_study_ID,phs002709.v1.p1
subproject,Exosome
nih_project_id,1U18TR003807-01
